Complaint ID,Date Received,Banking Product,Issue ID,Complaint Description,State,ZIP,Bank Response
CID76118977,1/1/2023,Checking or savings account,I_3510635,"on XX/XX/XX22 I opened a safe balance account online using my payroll check of over {$600.00} as my account opener. On XX/XX/XX22, I attempted to login to my app and received a "" account locked contact customer service @ XXXX '' error message. I placed the call and was told I would have to go to a branch to verify my identity, which I did. At the same time, I was told I had a positive balance of of {$650.00} and could make a withdrawal from the teller, which I did for {$400.00} leaving a balance of + {$250.00}. Shortly after that, I deposited a mobile check for {$5XX.00}. On XX/XX/XX22, again I attempted to login and received the previous error message along with 3 emails stating a hold was placed on my account. Contacting the same previous number I was told that my acct was being closed by the Risk Dept. due to lack of identity verification, which I told them I had done the day before. I was then told it didn't matter the account was already being closed and it was not reversible, so I asked about my balance and was then told I was overdrawn by {$400.00} and I would have to pay that before I could be set up with a new acct. None of this makes logically sense, nor does it in anyway seem legal. I have contacted my attorney who suggested that I attempt to resolve the issue with a supervisor or manager before he makes any court filings so that is what I am doing now. All of this has not just caused me unnecessary stress but put myself and my family into serious financial hardship and suffering. We were force to miss XXXX with family due to lack of funds to travel, I have no way to pay for the propane that is for cooking and heating my home, my mortgage payment, car registration and insurance are now all past due resulting in late fees totalling {$350.00}, all caused by poorly trained bank employees!",California,92311,Closed with monetary relief
CID98703933,1/1/2023,"Credit reporting, credit repair services, or other personal consumer reports",I_3798538,There is an item from Bank of ABC on my credit report that does not belong to me and must be removed because its a fraud item but they always return back confirming that this account belongs to me with no proof. I need this item removed from my credit report because its effecting my life and i will look into legal means if this does not get solved soon,California,91344,Closed with explanation
CID52036665,1/1/2023,Checking or savings account,I_3648593,"On XX/XX/XX22 I found out that my account was frozen for no apparent reason. I went to the BOA branch in XXXX XXXX NY, I explained whats going on and he made the call he beleived me after that call. I'm on a fixed income and BOA is holding my funds hostage for no reason. I had XXXX XXXXXXXX and I'm on a fixed income and I have XXXX children and can not afford the high corporation bank as BOA to keep getting away with this.",New York,10466,Closed with monetary relief
CID62581335,1/1/2023,Credit card or prepaid card,I_6999080,"I've had a credit card for years with Bank of ABC. In XX/XX/XXXX I paid off my balance and because I had it on auto pay, it continued to pay and I ended up with a credit balance. They notified me repeatedly since they didn't want the credit balance so I turned off the auto payment and they sent me a check. 

Then in XX/XX/XXXX I did another balance transfer. I forgot I had turned off the auto payment so I received a late fee on XX/XX/XXXX. I get it, it was my mistake so paying the fee was fine. Then on XX/XX/XXXX, I received a fee for "" minimum interest charge '' even though I wasn't supposed to be paying interest due to the balance transfer at 0 %. 

I didn't notice the fee in the beginning but called in XXXX when I noticed they had charged me a fee each subsequent month. I talked to somebody to ask why I was being charged this fee. They said because I had the late fee in XXXX, it will continue to charge this every month. My understanding is they aren't supposed to charge interest on fees so I'm confused how they are justifying this to begin with. They said they would refund the fees ( they just refunded one as far as I can tell ). When I asked what I could do in order to get this fixed so I wasn't charged this fee monthly, they told me they couldn't do anything to fix it but I could call every month and request a refund. Seriously?? I was very upset at this point due to their unreasonable response and believe I even talked to a supervisor. Asking customers to take the time to call each month to request a statement fix for {$1.00} is craziness. It's their error. I realize it's only {$1.00} but it's wrong and they could be doing this with a million customers each month. 

They have continued to charge this fee every month as they can see on my statements. I obviously just need to pay it off but want to bring awareness to this predatory fee practice. This definitely violates UDAAP and am surprised this is happening at such a large financial institution. 

I look forward to hearing the resolution on this matter and hope there can be further investigation as to how many customers are being charged fees inappropriately.",California,92127,Closed with monetary relief
CID65731164,1/1/2023,Checking or savings account,I_3648593,"This issue has to do with the way that Bank of ABC does their account linking in their Bill Pay part of their website. In certain cases it looks like account links in the Bill Pay Center can be removed without warning. It might result in overdue fees, interest on balances and negative impacts to credit score. 



I used to have a Bank of ABC checking account in like XXXX but closed that but kept using a Bank of ABC credit card. I paid the bills for that credit card using a checking account at another bank, call it Bank1. Fast forward to like summer of XXXX and I opened a new checking account at another bank, call it Bank2. I verified and linked up my Bank of ABC Bill Pay to autopay the Bank of ABC credit card from Bank2 for the last 2 months. 
I re-opened a checking account with Bank of ABC during the last week of XXXX and my previously linked checking account from Bank2 has disappeared from the Bank of ABC bill pay center. For some reason, re-opening a checking account at Bank of ABC reverted the banks I had set up in Bill Pay to what is was in XXXX. 



In my Bill pay center it clearly shows that the autopay from Bank2 was set up before because it says the autopay is still scheduled but an unverified account. And I don't see a way to set up a payment from a bank account that is not linked to my Bank of ABC Bill Pay.",New Jersey,7946,Closed with explanation
CID85022786,1/1/2023,Credit card or prepaid card,I_2805744,"So, last time I was on the phone with b of a prepaid regarding my edd account, I was told that actually, multiple cards remained active at the time of my most current card being active. So I believe I have a right to file a claim on my entire account since they dont even know which cards are active at what time. But they refuse to let me file a claim.",California,95608,Closed with explanation
CID90664453,1/1/2023,"Credit reporting, credit repair services, or other personal consumer reports",I_8801555,"Got 5 hard inquiries I dont recognize, from XXXX XXXX XXXX on XX/XX/XXXX, 3 from BK of ABC on XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX And XXXX XXXX on XX/XX/XXXXXXXX XXXX",Arizona,85710,Closed with explanation
CID95238935,1/2/2023,Debt collection,I_1570149,"In XXXX of XX22, I discovered that a former tenant had stolen my identity. I found this during the eviction process & after reviewing my entire credit report. There were several Bank of ABC accounts opened up in my name. I immediately notified the Bank of ABC fraud unit and also provided them with my Police report, FTC report, Drivers license, and a utility bill. Bank of ABC continues to affirm the accounts stating that payments were made on the account ( s ) from a checking account in my name. Ive tried to object to their decision because there were three fraudulent checking accounts also opened by the fraudsters. I do not know what more I can do aside from filing a lawsuit against the company.",California,90723,Closed with explanation
CID61745687,1/2/2023,Credit card or prepaid card,I_9017186,"I, the consumer am aware and have proof that BANK OF ABC has and continues to violate my consumer rights. I have observed at least 9 violations pursuant XX USC XX93f. BANK OF ABC received a Cease and Desist in reference to this matter XX/XX/XX22. They have failed to provide results of the investigation and its findings used to determine actions of withholding the consumers funds in a reported electronic transfer error since XX/XX/XX22 ; notice of the right to request reproductions ; mail to the consumer reproductions of all documents which the financial institution relied on to conclude that such error did not occur ; or returning the funds as directed by the consumer. BOA has and continues to violate consumer pursuant to XX USC XX93 f. As a result to their gross, negligent and willful behavior, I have been injured numerous times.",Michigan,48237,Closed with monetary relief
CID72502780,1/2/2023,"Credit reporting, credit repair services, or other personal consumer reports",I_7782152,I have filed a dispute in regards to an inaccurate Account on my consumer report. It has been well over 60 days and I haven't received any investigation results.,New York,11003,Closed with explanation
