Complaint ID,split
CID11142268,train
CID11166181,test
CID11168647,train
CID11189874,test
CID11239441,train
CID11250719,train
CID11262886,test
CID11272148,train
CID11310259,train
CID11330699,test
CID11347375,test
CID11359725,train
CID11361165,train
CID11375629,train
CID11392482,train
CID11461925,train
CID11559897,test
CID11565741,train
CID11582512,train
CID11620965,train
CID11624537,test
CID11673969,train
CID11677441,train
CID11686905,test
CID11691831,train
CID11765932,train
CID11792662,test
CID11801779,test
CID11812685,train
CID11850979,train
CID11887989,train
CID11915239,train
CID11918933,train
CID11980558,train
CID12045816,train
CID12081893,test
CID12087717,test
CID12174711,train
CID12272454,train
CID12343778,test
CID12414602,train
CID12433599,train
CID12468566,train
CID12483697,train
CID12514994,train
CID12527577,train
CID12586943,train
CID12599995,train
CID12716201,train
CID12748925,test
CID12790809,train
CID12792344,train
CID12805985,test
CID12924726,train
CID13035668,train
CID13087252,train
CID13175292,train
CID13271577,train
CID13275661,train
CID13275732,test
CID13282441,train
CID13337354,test
CID13360433,train
CID13379619,train
CID13389441,train
CID13432708,test
CID13432784,train
CID13452595,test
CID13498424,train
CID13505534,test
CID13524392,train
CID13609643,train
CID13639554,train
CID13685345,test
CID13703838,test
CID13726122,train
CID13783878,train
CID13938676,train
CID13951267,train
CID13952171,train
CID13959594,train
CID13988204,train
CID13989942,test
CID14007219,train
CID14024567,test
CID14037486,train
CID14045747,train
CID14051721,train
CID14089853,test
CID14161511,train
CID14199222,test
CID14239477,train
CID14252205,train
CID14260237,train
CID14296202,train
CID14297229,train
CID14308695,train
CID14315662,train
CID14322949,train
CID14352777,train
CID14409792,train
CID14431762,train
CID14493264,train
CID14554761,train
CID14615793,train
CID14631974,train
CID14641705,train
CID14655941,train
CID14685541,train
CID14687569,train
CID14736241,train
CID14877263,train
CID14881134,train
CID14891161,test
CID14975471,train
CID14978785,train
CID15058412,train
CID15091865,test
CID15091928,test
CID15138262,train
CID15268443,train
CID15345151,test
CID15394449,train
CID15425816,train
CID15430169,test
CID15474942,train
CID15540999,train
CID15571437,train
CID15590467,train
CID15598679,test
CID15613655,train
CID15614713,train
CID15619266,train
CID15668253,train
CID15710586,train
CID15733337,train
CID15789696,train
CID15817933,train
CID15818369,train
CID15837293,train
CID15851397,train
CID15894487,train
CID16003587,train
CID16010969,test
CID16069454,train
CID16114786,test
CID16207974,train
CID16213133,train
CID16279737,train
CID16360749,test
CID16401608,train
CID16497719,train
CID16514402,train
CID16518791,train
CID16536302,train
CID16571546,train
CID16618241,train
CID16731633,train
CID16737867,test
CID16763962,test
CID16792222,train
CID16805961,test
CID16819204,train
CID16880331,test
CID16928956,train
CID16944747,train
CID17045978,train
CID17052804,test
CID17053303,train
CID17086501,train
CID17166154,train
CID17215529,train
CID17273279,train
CID17279615,test
CID17330152,train
CID17373197,train
CID17387753,train
CID17409979,train
CID17428999,train
CID17462835,train
CID17519891,train
CID17550591,train
CID17569464,train
CID17601506,train
CID17646968,train
CID17647289,train
CID17667226,train
CID17669362,train
CID17696237,train
CID17745579,test
CID17793978,train
CID17812602,train
CID17863567,train
CID17916208,train
CID17969633,train
CID18043576,train
CID18112584,test
CID18140473,train
CID18276172,train
CID18316727,train
CID18324391,train
CID18328598,test
CID18338659,test
CID18355815,train
CID18434649,train
CID18523612,train
CID18547613,train
CID18553999,train
CID18613228,train
CID18631128,train
CID18697826,train
CID18721557,test
CID18779429,test
CID18784298,train
CID18852871,train
CID18925681,train
CID18995859,test
CID19008919,train
CID19066327,train
CID19095609,train
CID19123403,train
CID19171982,train
CID19190466,test
CID19230274,train
CID19235864,train
CID19249668,test
CID19271931,train
CID19287805,train
CID19329497,train
CID19332538,train
CID19360761,train
CID19414712,test
CID19462536,train
CID19491358,train
CID19516878,test
CID19624243,train
CID19754137,train
CID19830361,train
CID19844265,train
CID19881947,train
CID19889972,train
CID19926357,test
CID19937458,test
CID19971844,train
CID19973474,train
CID20058899,train
CID20096562,train
CID20138951,train
CID20201536,train
CID20246938,train
CID20297165,train
CID20298756,train
CID20332351,train
CID20369909,train
CID20458828,train
CID20460664,test
CID20465375,train
CID20473257,train
CID20477624,train
CID20558675,train
CID20568423,train
CID20586858,train
CID20623874,train
CID20702112,train
CID20776617,train
CID20814375,train
CID20899232,train
CID20914569,test
CID20960202,train
CID20992501,train
CID20998529,test
CID21006286,train
CID21058677,train
CID21187602,train
CID21199128,train
CID21231249,train
CID21260619,train
CID21285525,train
CID21364733,train
CID21373241,train
CID21427986,test
CID21656957,train
CID21702793,train
CID21706638,test
CID21711697,train
CID21729516,train
CID21737114,train
CID21768953,train
CID21835252,test
CID21874362,train
CID21879866,train
CID21890151,train
CID21954644,train
CID21954805,train
CID22005228,train
CID22015675,train
CID22038318,train
CID22048331,train
CID22093658,train
CID22172652,train
CID22176713,train
CID22228981,test
CID22282969,train
CID22283129,train
CID22303632,train
CID22372565,test
CID22409689,train
CID22428611,test
CID22435826,train
CID22439373,train
CID22471265,train
CID22502433,train
CID22521802,train
CID22534772,test
CID22538709,train
CID22563155,train
CID22574358,train
CID22580124,train
CID22637423,train
CID22647664,train
CID22728224,train
CID22750555,train
CID22773385,train
CID22779272,train
CID22780323,train
CID22780513,test
CID22789218,train
CID22802429,train
CID22835471,train
CID22835951,train
CID22837826,train
CID22916901,train
CID23019977,test
CID23109983,train
CID23301505,train
CID23304707,train
CID23309589,train
CID23322303,train
CID23325671,train
CID23362571,train
CID23362824,test
CID23378887,train
CID23414575,train
CID23428565,train
CID23469157,train
CID23501991,train
CID23587131,train
CID23593581,test
CID23594409,train
CID23600926,train
CID23678401,train
CID23778909,train
CID23796322,train
CID23869443,train
CID23976909,test
CID23980296,train
CID23988532,test
CID24121467,test
CID24123511,train
CID24165355,train
CID24166595,train
CID24224417,test
CID24275337,train
CID24281967,train
CID24351972,test
CID24352218,test
CID24410451,train
CID24425919,train
CID24429927,train
CID24487349,train
CID24519373,train
CID24554241,train
CID24576608,train
CID24598115,train
CID24647724,train
CID24659416,train
CID24700892,train
CID24722124,test
CID24728244,train
CID24795726,train
CID24829304,test
CID24834185,test
CID24870546,test
CID24948492,train
CID24951553,train
CID25003557,train
CID25026584,train
CID25068317,train
CID25074974,train
CID25080812,train
CID25097908,train
CID25118576,train
CID25164793,train
CID25178305,train
CID25206504,test
CID25209219,train
CID25234855,train
CID25254997,train
CID25300765,train
CID25350572,train
CID25398618,train
CID25518903,test
CID25577825,train
CID25601669,train
CID25605169,train
CID25625817,train
CID25875138,train
CID25878805,test
CID25891912,train
CID25899512,train
CID25915546,train
CID25922959,train
CID25923831,train
CID25942131,test
CID25955581,test
CID25966395,train
CID25983858,train
CID26057852,train
CID26062803,train
CID26072958,train
CID26083893,train
CID26111823,train
CID26148607,train
CID26148926,train
CID26150914,train
CID26187846,train
CID26193898,train
CID26215448,train
CID26224219,test
CID26277694,test
CID26299357,train
CID26303286,train
CID26392382,test
CID26462738,train
CID26603406,train
CID26653191,train
CID26685235,test
CID26909572,train
CID27048367,test
CID27155485,train
CID27238736,train
CID27241635,train
CID27243734,test
CID27245166,train
CID27253827,train
CID27300614,train
CID27309619,train
CID27314613,train
CID27335117,train
CID27370899,train
CID27394552,train
CID27395296,train
CID27484486,train
CID27505925,test
CID27593232,train
CID27608842,train
CID27624383,train
CID27652136,train
CID27665897,train
CID27715731,train
CID27724253,train
CID27726903,train
CID27771981,train
CID27789773,train
CID27847148,train
CID27891483,train
CID27952249,train
CID27998406,train
CID28003156,train
CID28008825,train
CID28118502,train
CID28119401,train
CID28122623,train
CID28149253,train
CID28195202,train
CID28202254,train
CID28267943,train
CID28300542,train
CID28305864,train
CID28343776,test
CID28349516,train
CID28356181,train
CID28385214,train
CID28389295,train
CID28390397,train
CID28399442,train
CID28402887,train
CID28478482,train
CID28482405,train
CID28523664,train
CID28583666,train
CID28626755,test
CID28694334,train
CID28705604,train
CID28715667,train
CID28730742,train
CID28746885,test
CID28798633,train
CID28810964,test
CID28905386,test
CID28935372,test
CID28952117,train
CID28969636,train
CID28995383,train
CID29040998,train
CID29047611,train
CID29103387,train
CID29112623,test
CID29178391,train
CID29197653,train
CID29200817,test
CID29200918,train
CID29243995,train
CID29247823,train
CID29405302,train
CID29448213,train
CID29457514,train
CID29560611,train
CID29668962,train
